Customer ID,Recency,Frequency,Monetary,cluster,cluster_name
12346.0,0.7622985077176617,0.8010872736320429,-0.18796074461522252,1,Lost Customer
12347.0,-0.9104015609970623,-0.30060289664728373,-0.08132860300139054,0,regular Customer
12348.0,-0.177304617301103,-0.42301291556720894,-0.20486778303999,0,regular Customer
12349.0,-0.4973891983514514,-0.17819287772735856,0.06988337131626095,0,regular Customer
12351.0,-0.8277990884679401,-0.42301291556720894,-0.19603057390449607,0,regular Customer
12352.0,-0.8277990884679401,-0.30060289664728373,-0.19122098706129914,0,regular Customer
12353.0,-0.48706388928531114,-0.42301291556720894,-0.19414241559866438,0,regular Customer
12355.0,1.1546602522309921,-0.42301291556720894,-0.1750196239629536,1,Lost Customer
12356.0,-0.7761725431372387,-0.17819287772735856,0.1698570342936633,0,regular Customer
12357.0,-0.6935700706081166,-0.30060289664728373,1.1254625915078558,0,regular Customer
12358.0,-0.8277990884679401,-0.17819287772735856,0.07525390833944359,0,regular Customer
12359.0,-0.3115336351609265,0.18903717903241699,0.05779152923649033,0,regular Customer
12360.0,-0.786497852203379,0.0666271601124918,-0.051316646471798344,0,regular Customer
12361.0,0.0705028002862635,-0.17819287772735856,-0.1937396533694347,0,regular Customer
12362.0,2.9202881025409786,-0.42301291556720894,-0.21520721675748547,1,Lost Customer
12366.0,1.83613065059625,-0.42301291556720894,-0.17366997782990815,1,Lost Customer
12368.0,1.7845041052655486,-0.42301291556720894,-0.12683512540254632,1,Lost Customer
12369.0,-0.4354373439546098,-0.17819287772735856,-0.028842738460853282,0,regular Customer
12370.0,1.7432028690009875,-0.17819287772735856,-0.14288727575301566,1,Lost Customer
12371.0,-0.47673858021917087,-0.17819287772735856,0.014717286815752307,0,regular Customer
12373.0,1.7432028690009875,-0.30060289664728373,-0.14418531446950242,1,Lost Customer
12374.0,-0.35283487142548764,-0.17819287772735856,0.022219434522880364,0,regular Customer
12376.0,-0.6832447615419763,-0.30060289664728373,-0.17334350482515648,0,regular Customer
12377.0,-0.7658472340710984,-0.30060289664728373,-0.028051798707073524,0,regular Customer
12378.0,1.1030337069002907,-0.42301291556720894,-0.07186200776395271,1,Lost Customer
12379.0,-0.3425095623593473,-0.30060289664728373,-0.1436322175920366,0,regular Customer
12380.0,0.10147872748468433,0.31144719795234216,0.5500959918965755,0,regular Customer
12385.0,-0.786497852203379,-0.42301291556720894,-0.012322755660275918,0,regular Customer
12386.0,-0.9207268700632025,-0.42301291556720894,-0.20074592111745543,0,regular Customer
12387.0,-0.4147867258223292,-0.42301291556720894,-0.2136432876556855,0,regular Customer
12388.0,-0.10502745383812111,-0.30060289664728373,-0.10408859560412825,0,regular Customer
12389.0,-0.5490157436821528,-0.17819287772735856,-0.06898657714134629,0,regular Customer
12391.0,0.09115341841854405,0.0666271601124918,0.02965090250733027,0,regular Customer
12392.0,1.4024676698183585,-0.42301291556720894,-0.20345531048678614,1,Lost Customer
